"date","teamname_name","teamname_AdjEM","teamname_AdjO","teamname_AdjD","teamname_AdjT"
"Thursday, March 1, 2018","Louisiana Lafayette","+13.53","116.0","102.5","71.2"
"Thursday, March 1, 2018","Davidson","+13.47","117.3","103.8","65.2"
"Thursday, March 1, 2018","UCLA","+13.45","116.8","103.4","70.9"
"Thursday, March 1, 2018","New Mexico St.","+13.42","108.4","94.9","68.0"
"Thursday, March 1, 2018","Alabama","+13.36","108.5","95.2","69.2"
"Thursday, March 1, 2018","Mississippi St.","+12.90","110.8","97.9","67.8"
"Thursday, March 1, 2018","San Diego St.","+12.27","111.9","99.6","68.7"
"Thursday, March 1, 2018","Old Dominion","+12.10","110.8","98.7","64.9"
"Thursday, March 1, 2018","Oklahoma St.","+12.07","112.6","100.5","69.2"
"Thursday, March 1, 2018","Utah","+11.85","112.2","100.3","66.2"
"Thursday, March 1, 2018","Murray St.","+11.76","114.4","102.7","67.5"
"Thursday, March 1, 2018","Vermont","+11.72","115.8","104.1","64.1"
"Thursday, March 1, 2018","LSU","+11.66","115.6","104.0","68.6"
"Thursday, March 1, 2018","St. Bonaventure","+11.61","112.2","100.6","69.9"
"Thursday, March 1, 2018","South Dakota","+11.60","110.4","98.8","70.3"
"Thursday, March 1, 2018","Oregon","+11.51","112.3","100.8","67.5"
"Thursday, March 1, 2018","Fresno St.","+11.26","111.7","100.5","66.9"
"Thursday, March 1, 2018","Georgia","+11.16","108.0","96.9","65.0"
"Thursday, March 1, 2018","Providence","+10.93","110.4","99.5","68.0"
"Thursday, March 1, 2018","Indiana","+10.91","110.2","99.2","66.7"
"Thursday, March 1, 2018","St. John's","+10.79","107.9","97.1","69.3"
"Thursday, March 1, 2018","BYU","+10.35","108.4","98.1","67.5"
"Thursday, March 1, 2018","Boston College","+10.24","113.9","103.7","69.2"
"Thursday, March 1, 2018","South Carolina","+10.07","106.9","96.9","68.5"
"Thursday, March 1, 2018","SMU","+10.02","111.3","101.3","64.2"
"Thursday, March 1, 2018","Montana","+9.94","109.7","99.7","68.3"
"Thursday, March 1, 2018","South Dakota St.","+9.88","115.8","106.0","70.2"
"Thursday, March 1, 2018","Wisconsin","+9.81","110.5","100.7","63.4"
"Thursday, March 1, 2018","Belmont","+9.43","113.8","104.4","67.3"
"Thursday, March 1, 2018","Temple","+9.13","109.8","100.7","67.5"
"Thursday, March 1, 2018","Northern Kentucky","+8.64","108.7","100.0","68.4"
"Thursday, March 1, 2018","Wake Forest","+8.50","113.0","104.5","69.2"
"Thursday, March 1, 2018","Buffalo","+8.45","114.1","105.6","73.6"
"Thursday, March 1, 2018","UNC Greensboro","+8.38","107.0","98.6","65.9"
"Thursday, March 1, 2018","Northwestern","+8.26","109.7","101.4","64.3"
"Thursday, March 1, 2018","Utah Valley","+8.22","112.7","104.4","67.6"
"Thursday, March 1, 2018","Stanford","+8.20","108.9","100.7","70.3"
"Thursday, March 1, 2018","Vanderbilt","+8.08","116.6","108.5","65.7"
"Thursday, March 1, 2018","Furman","+7.72","110.0","102.3","68.8"
"Thursday, March 1, 2018","Washington","+7.57","106.5","98.9","70.0"
"Thursday, March 1, 2018","East Tennessee St.","+7.50","107.1","99.6","68.1"
"Thursday, March 1, 2018","Iowa","+7.48","117.6","110.1","70.6"
"Thursday, March 1, 2018","Mississippi","+7.45","112.6","105.2","69.8"
"Thursday, March 1, 2018","Georgetown","+7.44","109.9","102.4","70.4"
"Thursday, March 1, 2018","UNLV","+7.35","112.4","105.1","72.9"
"Thursday, March 1, 2018","Iowa St.","+6.83","111.7","104.9","69.1"
"Thursday, March 1, 2018","UCF","+6.64","100.0","93.4","65.1"
"Thursday, March 1, 2018","DePaul","+6.51","105.9","99.4","70.4"
"Thursday, March 1, 2018","Illinois","+6.43","110.3","103.9","70.2"
"Thursday, March 1, 2018","Georgia St.","+6.40","108.9","102.5","67.5"
"Thursday, March 1, 2018","Oregon St.","+6.37","108.6","102.2","66.1"
"Thursday, March 1, 2018","Northeastern","+6.14","108.4","102.3","67.3"
"Thursday, March 1, 2018","Bucknell","+6.05","109.0","103.0","71.9"
"Thursday, March 1, 2018","Idaho","+5.93","110.6","104.7","66.1"
"Thursday, March 1, 2018","Toledo","+5.69","115.7","110.0","69.0"
"Thursday, March 1, 2018","Grand Canyon","+5.55","102.7","97.1","69.0"
"Thursday, March 1, 2018","Tulsa","+5.49","109.7","104.2","67.3"
"Thursday, March 1, 2018","Wyoming","+5.40","105.0","99.6","74.5"
"Thursday, March 1, 2018","New Mexico","+5.25","113.4","108.2","71.8"
"Thursday, March 1, 2018","Northern Colorado","+5.03","106.9","101.8","71.7"
"Thursday, March 1, 2018","Colorado","+4.94","104.9","99.9","67.9"
"Thursday, March 1, 2018","Missouri St.","+4.91","108.2","103.3","66.0"
"Thursday, March 1, 2018","Minnesota","+4.88","109.6","104.8","70.0"
"Thursday, March 1, 2018","UC Santa Barbara","+4.63","113.4","108.7","67.3"
"Thursday, March 1, 2018","Georgia Tech","+4.45","105.6","101.1","65.2"
"Thursday, March 1, 2018","College of Charleston","+4.30","110.5","106.2","65.0"
"Thursday, March 1, 2018","UAB","+4.30","108.1","103.8","67.3"
"Thursday, March 1, 2018","Canisius","+4.20","108.7","104.5","69.0"
"Thursday, March 1, 2018","Saint Joseph's","+4.11","105.2","101.1","71.2"
"Thursday, March 1, 2018","Florida Gulf Coast","+4.02","108.2","104.2","71.5"
"Thursday, March 1, 2018","San Diego","+3.98","104.0","100.0","66.9"
"Thursday, March 1, 2018","UC Irvine","+3.91","101.5","97.6","67.3"
"Thursday, March 1, 2018","Stephen F. Austin","+3.91","105.6","101.6","72.2"
"Thursday, March 1, 2018","Bradley","+3.86","105.0","101.1","66.5"
"Thursday, March 1, 2018","Marshall","+3.74","108.8","105.0","75.7"
"Thursday, March 1, 2018","Northern Iowa","+3.62","104.0","100.4","62.9"
"Thursday, March 1, 2018","UC Davis","+3.53","105.1","101.6","66.9"
"Thursday, March 1, 2018","Rider","+3.44","110.7","107.2","73.8"
"Thursday, March 1, 2018","Penn","+3.30","102.5","99.2","68.8"
"Thursday, March 1, 2018","Evansville","+3.25","100.3","97.0","65.9"
"Thursday, March 1, 2018","Eastern Washington","+3.20","108.6","105.4","66.7"
"Thursday, March 1, 2018","UT Arlington","+3.14","105.6","102.5","73.6"
"Thursday, March 1, 2018","Mercer","+3.05","113.7","110.7","64.0"
"Thursday, March 1, 2018","Southern Illinois","+3.05","106.9","103.9","67.2"
"Thursday, March 1, 2018","San Francisco","+2.81","103.9","101.1","67.0"
"Thursday, March 1, 2018","Saint Louis","+2.80","102.6","99.8","64.7"
"Thursday, March 1, 2018","Indiana St.","+2.74","105.7","103.0","70.0"
"Thursday, March 1, 2018","Weber St.","+2.60","108.7","106.1","67.8"
"Thursday, March 1, 2018","Iona","+2.56","111.0","108.4","71.1"
"Thursday, March 1, 2018","Memphis","+2.55","109.3","106.8","66.4"
"Thursday, March 1, 2018","Albany","+2.45","108.6","106.1","66.3"
"Thursday, March 1, 2018","Wright St.","+2.01","100.6","98.6","68.7"
"Thursday, March 1, 2018","Utah St.","+1.95","108.8","106.8","66.6"
"Thursday, March 1, 2018","Portland St.","+1.94","110.5","108.6","75.4"
"Thursday, March 1, 2018","Illinois St.","+1.88","106.8","104.9","69.4"
"Thursday, March 1, 2018","Georgia Southern","+1.86","107.1","105.2","68.6"
"Thursday, March 1, 2018","Valparaiso","+1.82","103.1","101.3","69.8"
"Thursday, March 1, 2018","Rutgers","+1.81","98.2","96.4","66.1"
"Thursday, March 1, 2018","Towson","+1.76","107.5","105.7","68.2"
"Thursday, March 1, 2018","Jacksonville St.","+1.71","102.4","100.7","66.1"
"Thursday, March 1, 2018","Winthrop","+1.63","107.4","105.7","72.5"
"Thursday, March 1, 2018","Hofstra","+1.47","111.5","110.0","69.2"
"Thursday, March 1, 2018","La Salle","+1.45","106.3","104.9","69.2"
"Thursday, March 1, 2018","Louisiana Tech","+1.39","108.3","107.0","67.7"
"Thursday, March 1, 2018","Fort Wayne","+1.32","107.6","106.3","72.9"
"Thursday, March 1, 2018","Eastern Michigan","+1.26","103.5","102.2","65.1"
"Thursday, March 1, 2018","Drake","+1.25","107.0","105.7","68.7"
"Thursday, March 1, 2018","VCU","+1.13","106.8","105.6","71.1"
"Thursday, March 1, 2018","Wagner","+0.96","105.2","104.2","67.7"
"Thursday, March 1, 2018","Tulane","+0.85","108.1","107.2","69.5"
"Thursday, March 1, 2018","Cal St. Fullerton","+0.85","106.7","105.8","70.2"
"Thursday, March 1, 2018","Harvard","+0.85","100.0","99.1","66.2"
"Thursday, March 1, 2018","Pacific","+0.34","107.9","107.6","66.9"
"Thursday, March 1, 2018","Dayton","+0.16","109.2","109.0","66.1"
"Thursday, March 1, 2018","Ball St.","+0.16","104.5","104.3","70.1"
"Thursday, March 1, 2018","North Dakota St.","+0.03","106.3","106.3","66.5"
"Thursday, March 1, 2018","Radford","-0.12","104.7","104.9","63.7"
"Thursday, March 1, 2018","UTSA","-0.23","105.8","106.1","72.5"
"Thursday, March 1, 2018","Oakland","-0.28","110.4","110.7","71.0"
"Thursday, March 1, 2018","Nicholls St.","-0.29","105.4","105.7","73.9"
"Thursday, March 1, 2018","Connecticut","-0.29","105.0","105.3","67.0"
"Thursday, March 1, 2018","Wofford","-0.38","109.6","110.0","66.2"
"Thursday, March 1, 2018","Central Michigan","-0.53","107.8","108.3","67.9"
"Thursday, March 1, 2018","William & Mary","-0.62","116.2","116.9","70.1"
"Thursday, March 1, 2018","Lipscomb","-0.74","103.3","104.0","75.0"
"Thursday, March 1, 2018","Monmouth","-0.74","104.9","105.6","70.3"
"Thursday, March 1, 2018","Troy","-0.95","106.9","107.9","68.3"
"Thursday, March 1, 2018","Washington St.","-1.05","109.7","110.7","68.7"
"Thursday, March 1, 2018","Western Michigan","-1.29","107.0","108.3","67.8"
"Thursday, March 1, 2018","UNC Asheville","-1.93","106.3","108.3","69.6"
"Thursday, March 1, 2018","Lamar","-2.11","104.7","106.8","68.2"
"Thursday, March 1, 2018","Liberty","-2.12","105.1","107.3","63.6"
"Thursday, March 1, 2018","Austin Peay","-2.16","105.3","107.5","68.9"
"Thursday, March 1, 2018","George Washington","-2.24","103.4","105.7","65.7"
"Thursday, March 1, 2018","North Texas","-2.26","103.8","106.1","66.8"
"Thursday, March 1, 2018","Duquesne","-2.35","105.7","108.1","66.4"
"Thursday, March 1, 2018","Richmond","-2.35","106.3","108.6","68.3"
"Thursday, March 1, 2018","Yale","-2.40","104.5","106.9","68.8"
"Thursday, March 1, 2018","Seattle","-2.43","105.4","107.8","67.7"
"Thursday, March 1, 2018","Miami OH","-2.65","100.4","103.1","66.7"
"Thursday, March 1, 2018","Central Arkansas","-2.74","107.6","110.4","73.8"
"Thursday, March 1, 2018","Niagara","-3.00","111.0","114.0","73.7"
"Thursday, March 1, 2018","Princeton","-3.09","106.1","109.2","64.4"
"Thursday, March 1, 2018","UMBC","-3.17","103.5","106.7","68.3"
"Thursday, March 1, 2018","Coastal Carolina","-3.22","102.6","105.8","68.0"
"Thursday, March 1, 2018","Southeastern Louisiana","-3.32","102.8","106.2","66.4"
"Thursday, March 1, 2018","Tennessee St.","-3.33","98.4","101.7","65.9"
"Thursday, March 1, 2018","Ohio","-3.37","101.6","104.9","71.3"
"Thursday, March 1, 2018","Long Beach St.","-3.38","107.0","110.4","72.2"
"Thursday, March 1, 2018","Denver","-3.53","104.0","107.6","66.9"
"Thursday, March 1, 2018","Illinois Chicago","-3.57","100.9","104.5","72.0"
"Thursday, March 1, 2018","St. Francis PA","-3.59","108.1","111.6","68.4"
"Thursday, March 1, 2018","Milwaukee","-3.86","100.6","104.4","65.9"
"Thursday, March 1, 2018","Colgate","-4.16","106.5","110.6","67.0"
"Thursday, March 1, 2018","George Mason","-4.16","103.4","107.5","69.3"
"Thursday, March 1, 2018","Hawaii","-4.16","99.6","103.7","68.1"
"Thursday, March 1, 2018","Sam Houston St.","-4.29","101.6","105.9","66.9"
"Thursday, March 1, 2018","Manhattan","-4.42","100.6","105.0","66.0"
"Thursday, March 1, 2018","Navy","-4.47","99.8","104.3","65.5"
"Thursday, March 1, 2018","Kent St.","-4.55","103.7","108.3","69.3"
"Thursday, March 1, 2018","Hartford","-4.57","103.6","108.2","66.6"
"Thursday, March 1, 2018","Massachusetts","-4.58","107.0","111.6","66.4"
"Thursday, March 1, 2018","Campbell","-4.92","105.6","110.5","68.1"
"Thursday, March 1, 2018","South Alabama","-5.06","97.2","102.3","70.4"
"Thursday, March 1, 2018","Appalachian St.","-5.09","103.6","108.7","70.2"
"Thursday, March 1, 2018","Fairfield","-5.21","103.4","108.6","70.7"
"Thursday, March 1, 2018","Colorado St.","-5.25","104.3","109.5","69.7"
"Thursday, March 1, 2018","Tennessee Tech","-5.34","98.9","104.2","71.3"
"Thursday, March 1, 2018","Columbia","-5.35","107.5","112.9","70.4"
"Thursday, March 1, 2018","Texas St.","-5.47","100.1","105.6","62.5"
"Thursday, March 1, 2018","Louisiana Monroe","-5.54","103.7","109.3","66.1"
"Thursday, March 1, 2018","Lehigh","-5.60","106.7","112.3","70.8"
"Thursday, March 1, 2018","Bowling Green","-5.66","102.5","108.2","70.7"
"Thursday, March 1, 2018","James Madison","-5.68","102.8","108.5","68.0"
"Thursday, March 1, 2018","Mount St. Mary's","-5.93","104.8","110.7","65.0"
"Thursday, March 1, 2018","Loyola Marymount","-5.95","107.8","113.8","67.3"
"Thursday, March 1, 2018","Saint Peter's","-5.96","96.5","102.5","63.0"
"Thursday, March 1, 2018","Oral Roberts","-6.05","106.7","112.7","65.5"
"Thursday, March 1, 2018","FIU","-6.10","99.2","105.3","68.6"
"Thursday, March 1, 2018","Cal St. Bakersfield","-6.21","97.9","104.1","65.0"
"Thursday, March 1, 2018","Stony Brook","-6.26","97.7","104.0","68.5"
"Thursday, March 1, 2018","Pittsburgh","-6.29","99.3","105.5","65.4"
"Thursday, March 1, 2018","Southern Miss","-6.37","106.1","112.5","65.8"
"Thursday, March 1, 2018","California","-6.52","100.2","106.8","68.9"
"Thursday, March 1, 2018","Idaho St.","-6.67","103.3","110.0","68.2"
"Thursday, March 1, 2018","High Point","-6.76","100.8","107.5","66.0"
"Thursday, March 1, 2018","Hampton","-6.81","102.3","109.1","71.8"
"Thursday, March 1, 2018","UTEP","-7.05","98.6","105.7","68.0"
"Thursday, March 1, 2018","Robert Morris","-7.23","95.7","103.0","69.5"
"Thursday, March 1, 2018","Air Force","-7.24","100.4","107.6","66.0"
"Thursday, March 1, 2018","Florida Atlantic","-7.26","95.6","102.9","69.0"
"Thursday, March 1, 2018","UT Rio Grande Valley","-7.44","100.9","108.4","74.2"
"Thursday, March 1, 2018","UNC Wilmington","-7.45","104.9","112.3","72.4"
"Thursday, March 1, 2018","Elon","-7.56","103.7","111.3","67.4"
"Thursday, March 1, 2018","Delaware","-7.57","102.7","110.3","65.9"
"Thursday, March 1, 2018","Charleston Southern","-7.68","99.8","107.5","66.8"
"Thursday, March 1, 2018","North Dakota","-7.77","102.8","110.6","71.8"
"Thursday, March 1, 2018","New Orleans","-7.97","98.5","106.5","65.9"
"Thursday, March 1, 2018","Montana St.","-7.98","102.6","110.6","69.7"
"Thursday, March 1, 2018","NJIT","-8.07","99.4","107.5","67.1"
"Thursday, March 1, 2018","Eastern Illinois","-8.17","100.1","108.2","65.6"
"Thursday, March 1, 2018","Southeast Missouri St.","-8.21","109.0","117.3","69.5"
"Thursday, March 1, 2018","Brown","-8.29","101.8","110.1","71.5"
"Thursday, March 1, 2018","Drexel","-8.41","104.4","112.8","69.3"
"Thursday, March 1, 2018","Boston University","-8.42","100.9","109.4","67.5"
"Thursday, March 1, 2018","Northern Illinois","-8.48","104.9","113.4","67.5"
"Thursday, March 1, 2018","LIU Brooklyn","-8.51","103.8","112.3","71.9"
"Thursday, March 1, 2018","Santa Clara","-8.54","100.6","109.1","64.9"
"Thursday, March 1, 2018","Portland","-8.66","100.0","108.7","67.5"
"Thursday, March 1, 2018","Gardner Webb","-8.66","98.2","106.9","68.0"
"Thursday, March 1, 2018","UC Riverside","-8.82","95.5","104.3","68.3"
"Thursday, March 1, 2018","Army","-8.83","100.7","109.5","70.7"
"Thursday, March 1, 2018","Akron","-8.94","102.5","111.4","67.9"
"Thursday, March 1, 2018","Cornell","-8.98","104.7","113.6","69.8"
"Thursday, March 1, 2018","Texas Southern","-9.00","105.1","114.1","71.2"
"Thursday, March 1, 2018","Abilene Christian","-9.21","99.4","108.6","68.9"
"Thursday, March 1, 2018","UMKC","-9.32","98.8","108.1","69.5"
"Thursday, March 1, 2018","Southern Utah","-9.37","101.9","111.3","72.4"
"Thursday, March 1, 2018","Green Bay","-9.43","99.2","108.6","72.7"
"Thursday, March 1, 2018","Lafayette","-9.73","103.4","113.1","68.6"
"Thursday, March 1, 2018","Prairie View A&M","-9.82","102.5","112.3","70.6"
"Thursday, March 1, 2018","Morehead St.","-10.08","99.8","109.9","68.7"
"Thursday, March 1, 2018","Fairleigh Dickinson","-10.13","103.1","113.2","70.8"
"Thursday, March 1, 2018","Nebraska Omaha","-10.33","105.0","115.4","70.1"
"Thursday, March 1, 2018","North Florida","-10.37","108.3","118.7","74.2"
"Thursday, March 1, 2018","New Hampshire","-10.39","99.1","109.5","65.6"
"Thursday, March 1, 2018","Sacramento St.","-10.49","100.1","110.6","65.7"
"Thursday, March 1, 2018","Arkansas St.","-10.68","105.3","116.0","69.8"
"Thursday, March 1, 2018","Pepperdine","-10.73","105.5","116.2","67.7"
"Thursday, March 1, 2018","Fordham","-10.75","95.0","105.8","66.1"
"Thursday, March 1, 2018","Eastern Kentucky","-11.12","102.5","113.6","68.8"
"Thursday, March 1, 2018","San Jose St.","-11.12","96.6","107.7","67.5"
"Thursday, March 1, 2018","IUPUI","-11.22","99.4","110.6","66.5"
"Thursday, March 1, 2018","Quinnipiac","-11.24","103.0","114.3","66.6"
"Thursday, March 1, 2018","UMass Lowell","-11.30","104.1","115.4","71.7"
"Thursday, March 1, 2018","Bethune Cookman","-11.34","100.3","111.6","76.2"
"Thursday, March 1, 2018","Samford","-11.35","109.0","120.3","71.1"
"Thursday, March 1, 2018","Dartmouth","-11.38","99.1","110.5","67.2"
"Thursday, March 1, 2018","Rice","-11.47","99.6","111.1","67.8"
"Thursday, March 1, 2018","North Carolina A&T","-11.50","100.8","112.3","69.4"
"Thursday, March 1, 2018","Siena","-11.52","98.1","109.6","65.8"
"Thursday, March 1, 2018","Tennessee Martin","-11.91","96.2","108.1","66.4"
"Thursday, March 1, 2018","Western Illinois","-11.92","97.5","109.4","68.6"
"Thursday, March 1, 2018","Grambling St.","-11.97","94.5","106.4","73.2"
"Thursday, March 1, 2018","Western Carolina","-11.97","96.0","108.0","69.5"
"Thursday, March 1, 2018","Binghamton","-12.18","98.1","110.2","66.4"
"Thursday, March 1, 2018","McNeese St.","-12.27","101.7","114.0","70.5"
"Thursday, March 1, 2018","Sacred Heart","-12.28","96.9","109.2","68.6"
"Thursday, March 1, 2018","Norfolk St.","-12.33","96.4","108.8","69.2"
"Thursday, March 1, 2018","East Carolina","-12.38","97.9","110.3","68.9"
"Thursday, March 1, 2018","Little Rock","-12.49","95.8","108.3","65.2"
"Thursday, March 1, 2018","Central Connecticut","-12.50","98.8","111.3","64.8"
"Thursday, March 1, 2018","Holy Cross","-12.52","97.3","109.9","63.1"
"Thursday, March 1, 2018","St. Francis NY","-12.66","99.7","112.3","69.5"
"Thursday, March 1, 2018","Texas A&M Corpus Chris","-12.66","94.6","107.3","67.6"
"Thursday, March 1, 2018","Kennesaw St.","-12.74","99.9","112.6","68.8"
"Thursday, March 1, 2018","Chattanooga","-13.05","99.8","112.8","65.4"
"Thursday, March 1, 2018","Stetson","-13.35","99.5","112.8","70.1"
"Thursday, March 1, 2018","Morgan St.","-13.59","97.0","110.6","68.3"
"Thursday, March 1, 2018","The Citadel","-13.66","102.2","115.9","78.2"
"Thursday, March 1, 2018","Savannah St.","-13.68","103.2","116.9","83.3"
"Thursday, March 1, 2018","Cal Poly","-13.73","99.9","113.6","66.3"
"Thursday, March 1, 2018","SIU Edwardsville","-13.73","100.3","114.1","69.5"
"Thursday, March 1, 2018","Cleveland St.","-13.96","99.1","113.0","67.4"
"Thursday, March 1, 2018","Marist","-13.98","99.9","113.8","70.0"
"Thursday, March 1, 2018","Charlotte","-14.11","98.7","112.8","70.8"
"Thursday, March 1, 2018","South Florida","-14.16","98.3","112.4","64.5"
"Thursday, March 1, 2018","Jacksonville","-14.16","95.2","109.3","69.1"
"Thursday, March 1, 2018","Detroit","-14.18","102.8","117.0","72.8"
"Thursday, March 1, 2018","Southern","-14.65","95.8","110.4","67.3"
"Thursday, March 1, 2018","North Carolina Central","-14.87","100.0","114.8","65.6"
"Thursday, March 1, 2018","Youngstown St.","-15.24","102.0","117.3","71.3"
"Thursday, March 1, 2018","Loyola MD","-15.38","96.2","111.6","68.7"
"Thursday, March 1, 2018","Northern Arizona","-15.49","95.0","110.5","68.9"
"Thursday, March 1, 2018","American","-16.13","96.5","112.6","66.8"
"Thursday, March 1, 2018","Cal St. Northridge","-16.18","97.5","113.7","66.0"
"Thursday, March 1, 2018","VMI","-17.13","90.9","108.0","69.3"
"Thursday, March 1, 2018","Houston Baptist","-17.14","99.3","116.4","73.4"
"Thursday, March 1, 2018","Arkansas Pine Bluff","-17.14","93.3","110.5","67.6"
"Thursday, March 1, 2018","Presbyterian","-17.74","98.6","116.4","63.5"
"Thursday, March 1, 2018","Maine","-17.97","91.6","109.6","71.6"
"Thursday, March 1, 2018","Alcorn St.","-18.76","96.5","115.2","68.1"
"Thursday, March 1, 2018","Howard","-18.96","99.5","118.4","70.1"
"Thursday, March 1, 2018","Jackson St.","-19.51","91.4","110.9","63.8"
"Thursday, March 1, 2018","USC Upstate","-19.75","106.2","125.9","69.2"
"Thursday, March 1, 2018","Alabama St.","-20.05","97.5","117.6","68.8"
"Thursday, March 1, 2018","Longwood","-20.86","90.4","111.2","69.4"
"Thursday, March 1, 2018","Incarnate Word","-20.97","94.9","115.9","70.2"
"Thursday, March 1, 2018","South Carolina St.","-21.19","97.6","118.8","70.9"
"Thursday, March 1, 2018","Bryant","-21.52","99.8","121.3","70.4"
"Thursday, March 1, 2018","Florida A&M","-21.64","95.6","117.2","67.5"
"Thursday, March 1, 2018","Northwestern St.","-23.12","89.2","112.4","69.5"
"Thursday, March 1, 2018","Coppin St.","-23.23","88.2","111.4","67.2"
"Thursday, March 1, 2018","Mississippi Valley St.","-23.69","91.2","114.9","69.3"
"Thursday, March 1, 2018","Chicago St.","-23.89","96.2","120.1","71.9"
"Thursday, March 1, 2018","Maryland Eastern Shore","-27.03","90.9","117.9","66.2"
"Thursday, March 1, 2018","Alabama A&M","-29.19","86.5","115.7","66.1"
"Thursday, March 1, 2018","Delaware St.","-29.49","90.4","119.9","64.9"
